id	directions_proven	argument_schema_recovered	panel_applicability	ghidra_evidence_locator	confidence
25	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelSpr; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelSpr	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108204:id=25;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108416:id=25	direction=high;packing=high;handler-schema=medium;panel=unknown
26	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelRoundCorner	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108418:id=26	direction=high;packing=high;handler-schema=medium;panel=unknown
27	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDOC; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelDOC	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108208:id=27;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010841a:id=27	direction=high;packing=high;handler-schema=medium;panel=unknown
28	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelFPPress; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010820a:id=28	direction=high;packing=high;handler-schema=medium;panel=unknown
29	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelOBrightness; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelOBrightness	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010820c:id=29;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010841e:id=29	direction=high;packing=high;handler-schema=medium;panel=unknown
30	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelMaxBrightness	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108420:id=30	direction=high;packing=high;handler-schema=medium;panel=unknown
32	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelrRoundCorner; count-forwarded | get out:std::vector<u32>* -> GetDisplayPanelrRoundCorner	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108212:id=32;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108424:id=32	direction=high;packing=high;handler-schema=medium;panel=unknown
33	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelLcdMaxBrightness	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108426:id=33	direction=high;packing=high;handler-schema=medium;panel=unknown
34	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelStage	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108428:id=34	direction=high;packing=high;handler-schema=medium;panel=unknown
35	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetPQModeStatus; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108218:id=35	direction=high;packing=high;handler-schema=medium;panel=unknown
65	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayKernelLogLevel; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108254:id=65	direction=high;packing=high;handler-schema=medium;panel=unknown
66	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> setDisplayHwcLogEnable; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108256:id=66	direction=high;packing=high;handler-schema=medium;panel=unknown
67	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayKernelLogSwitch; first-value/pointer | get out:std::vector<u32>* -> GetDisplayKernelLogSwitch	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108258:id=67;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010846a:id=67	direction=high;packing=high;handler-schema=medium;panel=unknown
68	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPqTrigger; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPqTrigger	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010825a:id=68;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010846c:id=68	direction=high;packing=high;handler-schema=medium;panel=unknown
69	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelBpp	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010846e:id=69	direction=high;packing=high;handler-schema=medium;panel=unknown
80	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetSVIAction; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108272:id=80	direction=high;packing=high;handler-schema=medium;panel=unknown
81	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetADorLTM; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108274:id=81	direction=high;packing=high;handler-schema=medium;panel=unknown
177	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelApolloBL; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108334:id=177	direction=high;packing=high;handler-schema=medium;panel=unknown
179	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelSoftIrisColor	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010854a:id=179	direction=high;packing=high;handler-schema=medium;panel=unknown
182	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetCwbPostProcessStatus; first-value/pointer | get out:std::vector<u32>* -> GetCwbPostProcessStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010833e:id=182;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108550:id=182	direction=high;packing=high;handler-schema=medium;panel=unknown
183	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDPDisplaySupport	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108552:id=183	direction=high;packing=high;handler-schema=medium;panel=unknown
184	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelCabcStatus; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelCabcStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108342:id=184;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108554:id=184	direction=high;packing=high;handler-schema=medium;panel=unknown
185	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelDreStatus; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelDreStatus	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108344:id=185;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108556:id=185	direction=high;packing=high;handler-schema=medium;panel=unknown
186	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetCwbEnbale; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108346:id=186	direction=high;packing=high;handler-schema=medium;panel=unknown
192	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelAodArea; count-forwarded	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108352:id=192	direction=high;packing=high;handler-schema=medium;panel=unknown
193	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelVideo; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelVideo	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108354:id=193;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108566:id=193	direction=high;packing=high;handler-schema=medium;panel=unknown
194	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayDynamicTE; first-value/pointer | get out:std::vector<u32>* -> GetDisplayDynamicTE	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108356:id=194;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108568:id=194	direction=high;packing=high;handler-schema=medium;panel=unknown
195	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayUltraLowPowerAOD; first-value/pointer | get out:std::vector<u32>* -> GetDisplayUltraLowPowerAOD	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108358:id=195;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@0010856a:id=195	direction=high;packing=high;handler-schema=medium;panel=unknown
197	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanel_DC_real_brightness; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@0010835c:id=197	direction=high;packing=high;handler-schema=medium;panel=unknown
198	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplay_Iris_loopback_status	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108570:id=198	direction=high;packing=high;handler-schema=medium;panel=unknown
199	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPWMTurbo; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelPWMTurbo	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108360:id=199;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108572:id=199	direction=high;packing=high;handler-schema=medium;panel=unknown
200	get	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | get out:std::vector<u32>* -> GetDisplayPanelPWMTurboFor90hz	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108574:id=200	direction=high;packing=high;handler-schema=medium;panel=unknown
201	both	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> SetDisplayPanelPWMPulse; first-value/pointer | get out:std::vector<u32>* -> GetDisplayPanelPWMPulse	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108364:id=201;project:i30-dpf-live:/dpf-live-b244b0bb-service:getDisplayPanelFeatureValue@00125de4:jump-table@00108576:id=201	direction=high;packing=high;handler-schema=medium;panel=unknown
209	set	packed_feature:u32=(display_id<<12)|base_id; base_id=packed&0xfff; display_id=packed>>12 | set values:u32* count:u32 count>=1 -> shared-control-flow; first-value/pointer	packed display id decoded; no range check recovered; per-handler panel enforcement unknown	project:i30-dpf-live:/dpf-live-b244b0bb-service:setDisplayPanelFeatureValue@001253cc:jump-table@00108374:id=209	direction=high;packing=high;handler-schema=medium;panel=unknown
